Date : 2024-03-05 08:50:02
Directory : c:\Users\User\Documents\dev\web_development\nicohorn_webpage
Total : 58 files,  10302 codes, 112 comments, 389 blanks, all 10803 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      6,622 |          0 |          2 |      6,624 |
| TypeScript JSX     |         28 |      2,914 |         74 |        164 |      3,152 |
| TypeScript         |         17 |        383 |         23 |        125 |        531 |
| CSS                |          2 |        205 |          6 |         38 |        249 |
| Prisma             |          1 |         77 |          0 |         28 |        105 |
| SQL                |          1 |         36 |          8 |         12 |         56 |
| JSON with Comments |          2 |         30 |          0 |          2 |         32 |
| Markdown           |          1 |         21 |          0 |         14 |         35 |
| JavaScript         |          2 |         12 |          1 |          4 |         17 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |         58 |     10,302 |        112 |        389 |     10,803 |
| . (Files)                                                                                                                    |          8 |      6,708 |          1 |         24 |      6,733 |
| prisma                                                                                                                       |          2 |        113 |          8 |         40 |        161 |
| prisma (Files)                                                                                                               |          1 |         77 |          0 |         28 |        105 |
| prisma\migrations                                                                                                            |          1 |         36 |          8 |         12 |         56 |
| prisma\migrations\20240226154807_almost_working                                                                              |          1 |         36 |          8 |         12 |         56 |
| public                                                                                                                       |          2 |          2 |          0 |          0 |          2 |
| src                                                                                                                          |         46 |      3,479 |        103 |        325 |      3,907 |
| src (Files)                                                                                                                  |          3 |         49 |          8 |         39 |         96 |
| src\app                                                                                                                      |         27 |      2,434 |         79 |        211 |      2,724 |
| src\app (Files)                                                                                                              |          2 |        179 |          7 |         37 |        223 |
| src\app\[lang]                                                                                                               |         21 |      2,181 |         68 |        149 |      2,398 |
| src\app\[lang] (Files)                                                                                                       |          2 |         80 |          2 |          9 |         91 |
| src\app\[lang]\about_me                                                                                                      |          3 |        722 |         15 |         25 |        762 |
| src\app\[lang]\about_me (Files)                                                                                              |          1 |         24 |          0 |          2 |         26 |
| src\app\[lang]\about_me\components                                                                                           |          2 |        698 |         15 |         23 |        736 |
| src\app\[lang]\blog                                                                                                          |          8 |        424 |         18 |         44 |        486 |
| src\app\[lang]\blog (Files)                                                                                                  |          2 |         87 |         16 |          8 |        111 |
| src\app\[lang]\blog\[id]                                                                                                     |          1 |         24 |          0 |          7 |         31 |
| src\app\[lang]\blog\components                                                                                               |          5 |        313 |          2 |         29 |        344 |
| src\app\[lang]\dashboard                                                                                                     |          4 |        657 |         31 |         43 |        731 |
| src\app\[lang]\dashboard (Files)                                                                                             |          1 |         13 |          0 |          2 |         15 |
| src\app\[lang]\dashboard\new_entry                                                                                           |          3 |        644 |         31 |         41 |        716 |
| src\app\[lang]\dashboard\new_entry (Files)                                                                                   |          1 |         11 |         17 |          4 |         32 |
| src\app\[lang]\dashboard\new_entry\components                                                                                |          2 |        633 |         14 |         37 |        684 |
| src\app\[lang]\landing                                                                                                       |          1 |         15 |          1 |          1 |         17 |
| src\app\[lang]\playground                                                                                                    |          3 |        283 |          1 |         27 |        311 |
| src\app\[lang]\playground (Files)                                                                                            |          1 |          5 |          0 |          2 |          7 |
| src\app\[lang]\playground\components                                                                                         |          2 |        278 |          1 |         25 |        304 |
| src\app\api                                                                                                                  |          4 |         74 |          4 |         25 |        103 |
| src\app\api\auth                                                                                                             |          1 |         52 |          4 |          5 |         61 |
| src\app\api\auth\[...nextauth]                                                                                               |          1 |         52 |          4 |          5 |         61 |
| src\app\api\blog_entry                                                                                                       |          1 |          9 |          0 |          7 |         16 |
| src\app\api\tag                                                                                                              |          1 |          7 |          0 |          7 |         14 |
| src\app\api\user                                                                                                             |          1 |          6 |          0 |          6 |         12 |
| src\app\api\user\[id]                                                                                                        |          1 |          6 |          0 |          6 |         12 |
| src\components                                                                                                               |          8 |        797 |          6 |         29 |        832 |
| src\repositories                                                                                                             |          3 |        149 |          1 |         32 |        182 |
| src\types                                                                                                                    |          1 |         12 |          3 |          3 |         18 |
| src\utils                                                                                                                    |          4 |         38 |          6 |         11 |         55 |
| src\utils (Files)                                                                                                            |          2 |         15 |          3 |          7 |         25 |
| src\utils\dictionaries                                                                                                       |          2 |         23 |          3 |          4 |         30 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                     | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\User\Documents\dev\web_development\nicohorn_webpage\.eslintrc.json                                                  | JSON with Comments |          3 |          0 |          1 |          4 |
| c:\Users\User\Documents\dev\web_development\nicohorn_webpage\README.md                                                       | Markdown           |         21 |          0 |         14 |         35 |
| c:\Users\User\Documents\dev\web_development\nicohorn_webpage\next.config.js                                                  | JavaScript         |          6 |          1 |          3 |         10 |
| c:\Users\User\Documents\dev\web_development\nicohorn_webpage\package-lock.json                                               | JSON               |      6,552 |          0 |          1 |      6,553 |
| c:\Users\User\Documents\dev\web_development\nicohorn_webpage\package.json                                                    | JSON               |         70 |          0 |          1 |         71 |
| c:\Users\User\Documents\dev\web_development\nicohorn_webpage\postcss.config.js                                               | JavaScript         |          6 |          0 |          1 |          7 |
